palavra,quant,titulo,estilo
lugaresNa,2,Onde Anda Você (part. Toquinho),bossa-nova
baresOnde,2,Onde Anda Você (part. Toquinho),bossa-nova
você?',1,Onde Anda Você (part. Toquinho),bossa-nova
você?'],1,Onde Anda Você (part. Toquinho),bossa-nova
['Perdida,1,Toca o Trompete,brega
baileCom,2,Toca o Trompete,brega
pura,2,Toca o Trompete,brega
maldadePai,2,Toca o Trompete,brega
dela,4,Toca o Trompete,brega
sonhaMãe,2,Toca o Trompete,brega
sabeQue,2,Toca o Trompete,brega
filha,2,Toca o Trompete,brega
bandidaQue,2,Toca o Trompete,brega
sacanagemSaiu,2,Toca o Trompete,brega
amigasSó,2,Toca o Trompete,brega
chega,4,Toca o Trompete,brega
mais,4,Toca o Trompete,brega
tardeSó,2,Toca o Trompete,brega
tarde',2,Toca o Trompete,brega
quer?O,4,Toca o Trompete,brega
quer?',2,Toca o Trompete,brega
'Novinha,2,Toca o Trompete,brega
quer,5,Toca o Trompete,brega
sentar,2,Toca o Trompete,brega
pros,2,Toca o Trompete,brega
criaPede,2,Toca o Trompete,brega
putaria,2,Toca o Trompete,brega
então,2,Toca o Trompete,brega
dar',2,Toca o Trompete,brega
uhBalançou',1,Toca o Trompete,brega
'Gostosa,2,Toca o Trompete,brega
toda,2,Toca o Trompete,brega
delicinhaAmanheceu,2,Toca o Trompete,brega
sentarSe,1,Toca o Trompete,brega
isso,1,Toca o Trompete,brega
querEu,1,Toca o Trompete,brega
vai',1,Toca o Trompete,brega
'SentaEla,2,Toca o Trompete,brega
pede,7,Toca o Trompete,brega
cria,5,Toca o Trompete,brega
tapa,9,Toca o Trompete,brega
rabaNa,4,Toca o Trompete,brega
hora,4,Toca o Trompete,brega
querSentaToma,2,Toca o Trompete,brega
toma,12,Toca o Trompete,brega
tomaSentaEla,2,Toca o Trompete,brega
toma',1,Toca o Trompete,brega
'Toca,1,Toca o Trompete,brega
trompete,1,Toca o Trompete,brega
Caio,1,Toca o Trompete,brega
Djay',1,Toca o Trompete,brega
'Felipe,1,Toca o Trompete,brega
AmorimEssa,1,Toca o Trompete,brega
mina,1,Toca o Trompete,brega
sentar',2,Toca o Trompete,brega
'Perdida,1,Toca o Trompete,brega
raba,5,Toca o Trompete,brega
querSentaEla,1,Toca o Trompete,brega
querSenta,1,Toca o Trompete,brega
Tapa,3,Toca o Trompete,brega
Toma,1,Toca o Trompete,brega
"[""Amazing",1,Amazing Grace,classico
grace,7,Amazing Grace,classico
sweet,2,Amazing Grace,classico
soundThat,2,Amazing Grace,classico
saved,2,Amazing Grace,classico
wretch,2,Amazing Grace,classico
like,2,Amazing Grace,classico
once,2,Amazing Grace,classico
lost,2,Amazing Grace,classico
foundWas,2,Amazing Grace,classico
blind,2,Amazing Grace,classico
"see""",1,Amazing Grace,classico
"""'Twas",1,Amazing Grace,classico
that,3,Amazing Grace,classico
